,unique_date,id,created_at,text,fav,RT,date
2017-03-19,2017-03-19,,,,,,
2017-03-20,2017-03-20,8.439544242424586e+17,2017-03-20 22:36:29,Ether Price Analysis: Prepare for the Resistance https://t.co/3S7EI3nJRa #ethereum #price #blockchain #fintech… https://t.co/ME6N7HnXmr,26.0,27.0,2017-03-20
2017-03-21,2017-03-21,8.442668748169216e+17,2017-03-21 19:18:03,Blockchain-Based Digital Ad Solution Hopes to Take a Bite Out of Fraud https://t.co/atBTQ32HQy #blockchain… https://t.co/aIqxAGLKRN,13.0,13.0,2017-03-21
2017-03-22,2017-03-22,8.446649891557048e+17,2017-03-22 21:40:01,ICYMI: @BitPay Has Studied #Bitcoin #Blockchain Alternatives: “None of Them Are Compelling” https://t.co/ff4LxEEFuI… https://t.co/qLLy7ru4H7,22.0,24.0,2017-03-22
2017-03-23,2017-03-23,8.450286399011922e+17,2017-03-23 21:45:02,"ICYMI: ""We“Desperately Need Balance of Power in the #Mining Space” https://t.co/n2KVWRcNbg #bitcoin… https://t.co/0zodeofRGI",14.0,23.0,2017-03-23
2017-03-24,2017-03-24,8.453867426810921e+17,2017-03-24 21:28:00,"ICYMI: LTB Podcast Network Acquired by BTC Media, Prepares for Relaunch https://t.co/y8Mnl6v1M9 #bitcoin… https://t.co/qgGUgZ9Sgp",31.0,32.0,2017-03-24
2017-03-25,2017-03-25,,,,,,
2017-03-26,2017-03-26,,,,,,
2017-03-27,2017-03-27,8.464796940189942e+17,2017-03-27 21:51:00,ICYMI: How #Blockchain Tech Will Create a Distributed Future for the #Energy Sector https://t.co/jAvdPcUXYP… https://t.co/648mgMxt2B,14.0,12.0,2017-03-27
2017-03-28,2017-03-28,8.467684577943593e+17,2017-03-28 16:58:27,Ether Price Analysis: Miners Are Bullish — But Prepare for Pullback https://t.co/RenS9Zs7Mq #ethereum #price… https://t.co/rOaDks8ZN9,14.0,12.0,2017-03-28
2017-03-29,2017-03-29,8.470829696637133e+17,2017-03-29 13:48:12,Bitcoin Unlimited Miners May Be Preparing a 51% Attack on Bitcoin https://t.co/eVDqx3lOvs #bitcoin… https://t.co/6B4mXpnz2K,69.0,100.0,2017-03-29
2017-03-30,2017-03-30,8.474433891338936e+17,2017-03-30 13:40:23,RT @alt_bit_coins: Kenyan #fintech Innovators Benefit From Global Conference https://t.co/uu6ycXdAxM https://t.co/BPryFc0LGc,0.0,9.0,2017-03-30
2017-03-31,2017-03-31,8.478600376410153e+17,2017-03-31 17:16:00,Democratizing Real Estate Investing With #Blockchain Technology https://t.co/CHpzfVxjkb #realestateinvesting… https://t.co/dJBXesfjjO,18.0,14.0,2017-03-31
2017-04-01,2017-04-01,8.481718479927132e+17,2017-04-01 13:55:01,ICYMI: Blockchain Solutions Coming for U.S. Crude Oil Market https://t.co/r8oVvRDsYR #Oil #oilandgas #blockchain… https://t.co/eCm8ULMSZw,19.0,12.0,2017-04-01
2017-04-02,2017-04-02,,,,,,
2017-04-03,2017-04-03,8.489139519958548e+17,2017-04-03 15:03:52,Meet ConnectBTC: Bitmain’s Newest #Bitcoin Mining Pool https://t.co/yFqAaUuAk6 #mining #blockchain @BITMAINtech https://t.co/Z7d8hwKy51,18.0,13.0,2017-04-03
2017-04-04,2017-04-04,8.49299283769688e+17,2017-04-04 16:35:03,BitPay CEO Stephen Pair: Bitcoin Unlimited Would Materially Degrade the Network https://t.co/lh35Azik5T #bitcoin… https://t.co/nENE2kTgUK,14.0,16.0,2017-04-04
2017-04-05,2017-04-05,8.496223293490708e+17,2017-04-05 13:58:43,Blockchain and Space-based “Digital Twin” of Earth Offer Insights and Web Connectivity https://t.co/5vU29jdXKn… https://t.co/QBFlHCLOrN,13.0,11.0,2017-04-05
2017-04-06,2017-04-06,8.50074999465685e+17,2017-04-06 19:57:28,Blockchain Proponent and Economist Hernando de Soto Honored With Global Award https://t.co/EVDDZFivsv #blockchain… https://t.co/kRElLsvkwQ,22.0,21.0,2017-04-06
2017-04-07,2017-04-07,8.504842735976161e+17,2017-04-07 23:03:46,ETH Price Analysis: A Likely Continuation of Bearish Sentiment https://t.co/VUMTP5sJM7 #ethereum #etherprice… https://t.co/ezQ2LytV5L,22.0,26.0,2017-04-07
2017-04-08,2017-04-08,,,,,,
2017-04-09,2017-04-09,,,,,,
2017-04-10,2017-04-10,8.515450710023291e+17,2017-04-10 21:19:00,ICYMI: #Bitcoin Mainly Used as Speculative Investment in Southeast Asia https://t.co/L7W0CNy19E  #blockchain… https://t.co/BtjHoBOdoL,13.0,14.0,2017-04-10
2017-04-11,2017-04-11,8.51916815857066e+17,2017-04-11 21:56:11,"Breaking Down Bitcoin's ""AsicBoost Scandal"" https://t.co/rarENNfAfV #bitcoin #segwit #BitcoinUnlimited #Blockchain https://t.co/L9Nsm9j46Y",41.0,50.0,2017-04-11
2017-04-12,2017-04-12,8.521442779120804e+17,2017-04-12 13:00:02,ICYMI: Wyre Pivoted Away from Consumer #Bitcoin Payments: “It Didn’t Work” https://t.co/XD7TRbGU61 #payments… https://t.co/6w0qlgO4bZ,9.0,4.0,2017-04-12
2017-04-13,2017-04-13,8.525379335130194e+17,2017-04-13 15:04:17,Thursday's Ether Price Analysis: Bullish Momentum Continues https://t.co/8GYff2vCr2 #ethereum #price #trading https://t.co/XK9ODdOMah,15.0,14.0,2017-04-13
2017-04-14,2017-04-14,8.530001610895155e+17,2017-04-14 21:41:01,ICYMI: Breaking Down Bitcoin’s “AsicBoost Scandal”: Some Solutions https://t.co/Ufx7ml5nqD #bitcoin #mining… https://t.co/OQqTgLy7U5,24.0,20.0,2017-04-14
2017-04-15,2017-04-15,8.532637926873743e+17,2017-04-15 15:08:35,【速報】国産モナーコイン、SegWit可決　世界初 - https://t.co/7jKuxuGbDT #ビットコイン https://t.co/GfNOHeRVYL,75.0,54.0,2017-04-15
2017-04-16,2017-04-16,,,,,,
2017-04-17,2017-04-17,8.540280540537569e+17,2017-04-17 17:45:29,Innovation Percolates When #Coffee Meets the #Blockchain https://t.co/gf54c0d7gL #innovation #fintech #supplychain… https://t.co/fMzDW41VBK,11.0,6.0,2017-04-17
2017-04-18,2017-04-18,8.544069789443318e+17,2017-04-18 18:51:12,"Dubai's Global Blockchain Council Combats ""Conflict Diamond"" Trading https://t.co/TlUTBAXnId #blockchain #dubai… https://t.co/kufv1UKcSE",14.0,13.0,2017-04-18
2017-04-19,2017-04-19,8.545985174903071e+17,2017-04-19 07:32:18,ビットコイン 今日の相場・戦略　2017年4月19日 - https://t.co/nnKZgigKvl #ビットコイン https://t.co/eKu8ZmIVLA,2.0,0.0,2017-04-19
2017-04-20,2017-04-20,8.551754929907712e+17,2017-04-20 21:45:00,ICYMI: How #Bitcoin Extension Blocks Are Backward Compatible - and How They Re Not https://t.co/BzXtvqQ7Fh #segwit… https://t.co/MZxi7VnA15,8.0,4.0,2017-04-20
2017-04-21,2017-04-21,8.555396429295657e+17,2017-04-21 21:52:00,Making the Case for #Bitcoin as Legal Property https://t.co/IlK52JKlPo #regulation #fintech #blockchain,14.0,22.0,2017-04-21
2017-04-22,2017-04-22,8.55768149056254e+17,2017-04-22 13:00:00,"ICYMI: #Bitcoin Powered Mobile App @BitMakerApp Has Quietly Amassed 250,000 Active Users https://t.co/I2Jog7McS0 #fintech #mobileapps",12.0,7.0,2017-04-22
2017-04-23,2017-04-23,8.562834409956024e+17,2017-04-23 23:07:35,Bitcoin Core 0.14.1: SegWit Signalling and Memory Accountinghttps://t.co/hratQtdsVC #bitcoin #segwit https://t.co/eHNOFr8iW5,26.0,32.0,2017-04-23
2017-04-24,2017-04-24,8.565324473197404e+17,2017-04-24 15:37:03,"U.K.’s Royal Mint, the Blockchain and Gold: A Look Ahead https://t.co/KTrmbFX0Yc #bitcoin @BitGo #blockchain #fintech",14.0,17.0,2017-04-24
2017-04-25,2017-04-25,8.569826792957993e+17,2017-04-25 21:26:07,Malta Rolls Out Ambitious Strategy for #Blockchain Technology https://t.co/IwAinqwyLt #malta #fintech #investment,20.0,19.0,2017-04-25
2017-04-26,2017-04-26,8.572444687135334e+17,2017-04-26 14:46:22,Bitcoin Price Analysis: Is a $1700 Target in Sight? https://t.co/RLS53WPSzp #bitcoin #price #ETF,25.0,18.0,2017-04-26
