,date,average block size,difficulty,estimated transaction volumes in usd,estimated transaction volumes,hash rate,market capitalization,miners revenues,number of orphaned blocks,number of transactions per blocks,number of unique addresses,total bitcoins,trade volumes,transaction fees,price
248,2017-09-12 00:00:00,0.7112392021276597,922724699725.0,906438524.0813711,214844.90570682,8623352.000042772,69874102306.50209,10193192.465866668,10193192.465866668,1362.9255319148936,549109.0,16561625.0,16561625.0,148.9079562,4219.036616666667
249,2017-09-13 00:00:00,0.7137803894736843,922724699725.0,1003125422.2257359,253233.20588187,8715089.78727727,65614497261.066666,9617966.635466667,9617966.635466667,1385.8947368421052,543777.0,16564000.0,16564000.0,133.73148672,3961.271266666666
250,2017-09-14 00:00:00,0.8023505804597701,922724699725.0,889710944.008651,268015.09325095,7981187.489401288,54993571515.249985,7489085.279999998,7489085.279999998,1540.6206896551723,552954.0,16566175.0,16566175.0,153.73503588,3319.63
251,2017-09-15 00:00:00,0.8441772333333333,922724699725.0,1503345854.3289788,398314.8351992,8256400.851104781,62533631277.012085,8227898.3176666675,8227898.3176666675,1622.661111111111,637364.0,16568425.0,16568425.0,12.81949192,3774.2652833333336
252,2017-09-16 00:00:00,0.7010672307692307,922724699725.0,753316071.8132362,200156.99323125,7751843.021315045,62365306431.7965,8161423.06774,8161423.06774,1350.6331360946745,486762.0,16570537.5,16570537.5,119.91780546,3763.6260399999996
253,2017-09-17 00:00:00,0.5814639147727273,922724699725.0,571971943.1618744,152686.24196026,8072925.276635787,62082482021.2277,8368699.789966666,8368699.789966666,1123.1988636363637,433778.0,16572737.5,16572737.5,99.41066001,3746.0607833333333
254,2017-09-18 00:00:00,0.9119924094488188,1052185622754.5197,838578661.7089372,204865.32804505,6965995.451677618,67843960761.250015,6960684.991666667,6960684.991666667,1718.1417322834643,481944.0,16574325.0,16574325.0,168.30810036,4093.316666666667
255,2017-09-19 00:00:00,0.9567676089743588,1103400932964.0,857981325.7805322,217573.26794229,8556655.830407152,65367103852.0,8091884.16,8091884.16,1813.570512820513,578178.0,16576275.0,16576275.0,173.70341529,3943.413333333333
256,2017-09-20 00:00:00,0.9482453846153848,1103400932964.0,736406709.8247888,185140.23704425,6417491.8728053635,65938973200.0625,6147321.555833332,6147321.555833332,2014.726495726496,480582.0,16577737.5,16577737.5,146.40700953,3977.561666666666
257,2017-09-21 00:00:00,0.7673945738636363,1103400932964.0,688978348.8716365,188302.13751506,9653662.988151658,60664303198.53021,8287404.385249998,8287404.385249998,1450.3238636363635,533108.0,16579937.5,16579937.5,136.34884416,3658.8981833333332
258,2017-09-22 00:00:00,0.8020077482014388,1103400932964.0,723462621.6503669,198889.92837967,7624199.746324318,60315885095.77125,6520223.320874998,6520223.320874998,1637.5179856115105,515183.0,16581675.0,16581675.0,117.16416809999998,3637.50255
259,2017-09-23 00:00:00,0.630479656626506,1103400932964.0,498447359.0083878,131990.54339702,9105159.409279406,62626656252.875,7983281.9066,7983281.9066,1228.0783132530119,427804.0,16583750.0,16583750.0,99.69585805,3776.3869
260,2017-09-24 00:00:00,0.656781524137931,1103400932964.0,359612295.3794406,97112.70530596,7953301.893647673,61417012140.61562,6815446.316325001,6815446.316325001,1277.7724137931034,383448.0,16585562.5,16585562.5,83.67519444,3703.04065
261,2017-09-25 00:00:00,0.916413568,1103400932964.0,1013757769.8676177,257132.18201588,6856294.735903166,65395652604.375015,6522957.247500001,6522957.247500001,1812.8239999999998,505248.0,16587125.0,16587125.0,147.37049675,3942.555
262,2017-09-26 00:00:00,0.9622311086956522,1103400932964.0,774208152.9912612,197991.63520779,7569349.388437095,64867502636.00916,7065925.441683332,7065925.441683332,1910.4927536231885,544621.0,16588850.0,16588850.0,150.08561133,3910.3073833333333
263,2017-09-27 00:00:00,0.8489842857142857,1103400932964.0,721892560.1762347,171774.68540903,8063002.609422122,69723276430.05104,8033183.850641668,8033183.850641668,1754.8367346938776,548154.0,16590687.5,16590687.5,143.49865258,4202.554983333333
264,2017-09-28 00:00:00,0.8439419661016948,1103400932964.0,841302338.5628892,200215.26199905,9708513.346038884,69723184107.745,9528010.170875,9528010.170875,1559.1864406779664,561792.0,16592900.0,16592900.0,134.45160224,4201.98905
265,2017-09-29 00:00:00,0.8328140118343195,1103400932964.0,729473582.8277419,173950.30273959,9269710.48294108,69592424013.01666,9047637.343333332,9047637.343333332,1505.5502958579882,569237.0,16595012.5,16595012.5,115.33216245,4193.574666666666
266,2017-09-30 00:00:00,0.7862133985507247,1103400932964.0,663214577.8754754,152977.6778886,7569349.388437095,71952969917.53354,7690943.393766668,7690943.393766668,1541.144927536232,467807.0,16596737.5,16596737.5,101.44145793,4335.368316666667
267,2017-10-01 00:00:00,0.9128472923076922,1103400932964.0,499781337.71793115,114609.74281977,7130546.525339292,72380860562.80876,7369621.813666668,7369621.813666668,1566.5615384615385,416589.0,16598362.5,16598362.5,119.05349794,4360.722966666667
268,2017-10-02 00:00:00,1.0015023933333334,1123590453769.76,848062737.1766696,193317.80496273,8380132.039612957,72823312134.89062,8729898.6625,8729898.6625,1966.68,606137.0,16600237.5,16600237.5,180.47323995,4386.88375
